prc,logVs30mid,logVs30scl,r1,r2,r3,dr1,dr2,s2,sigma_vel,ell_rdB,omega_rdB
0.01,6.49879,0.435501,-2.76058,5.52083,0.389704,-0.46214202,0.13005496,7.07134,0.272198,1.3266997,0.27356098
0.02,6.49879,0.435501,-2.7431,5.570628800000001,0.389704,-0.44465802,0.17984986000000003,7.07134,0.27318,1.38094,0.278639
0.03,6.49879,0.435501,-2.7321402999999997,5.60124,0.389704,-0.43370506000000003,0.21046788,7.07134,0.27379,1.41717,0.28179697000000004
0.04,6.49879,0.435501,-2.7236,5.62426,0.389704,-0.42515912,0.2334888,7.07134,0.274246,1.4452,0.28415492
0.05,6.49879,0.435501,-2.71679,5.642879,0.389704,-0.41834915,0.25210515,7.07134,0.274628,1.4689995,0.286051
0.060000000000000005,6.49879,0.435501,-2.71096,5.6586894,0.389704,-0.412515,0.26791181999999997,7.07134,0.274945,1.48952,0.287668
0.06999999999999999,6.49879,0.435501,-2.70575,5.67257,0.389704,-0.40731214,0.28179571999999997,7.07134,0.27523992999999997,1.5077093000000001,0.28911392999999996
0.08,6.49879,0.435501,-2.70121,5.68532,0.389704,-0.40277,0.29454692,7.07134,0.275501,1.52465,0.290399
0.09,6.49879,0.435501,-2.6970709,5.69682,0.389704,-0.39863518000000003,0.306041,7.07134,0.27573091,1.53977,0.291573
0.09999999999999999,6.49879,0.435501,-2.69319,5.707209,0.389704,-0.394753,0.3164315,7.07134,0.275946,1.55399,0.2926419
0.11,6.49879,0.435501,-2.6896,5.7167,0.389704,-0.39115811,0.32592789,7.07134,0.276146,1.56737,0.29365289
0.12,6.49879,0.435501,-2.68622,5.7256388000000005,0.389704,-0.387776,0.33486052,7.07134,0.276333,1.5799588,0.29460788
0.13,6.49879,0.435501,-2.68313,5.73436,0.389704,-0.38468713,0.34358435,7.07134,0.276514,1.5922174,0.295484
0.14,6.49879,0.435501,-2.6801,5.74236,0.389704,-0.38166228,0.35158816,7.07134,0.276679,1.6036486,0.29632971999999996
0.15000000000000002,6.49879,0.435501,-2.67724,5.75014,0.389704,-0.378802,0.359363,7.07134,0.276839,1.6146885,0.297144
0.16,6.49879,0.435501,-2.67459,5.75741,0.389704,-0.37614516,0.36663804,7.07134,0.276992,1.62516,0.297902
0.17,6.49879,0.435501,-2.67199,5.7643566,0.389704,-0.373549,0.37357979,7.07134,0.277139,1.63531,0.29863083
0.18000000000000002,6.49879,0.435501,-2.66951,5.77126,0.389704,-0.37106817999999997,0.38048774000000013,7.07134,0.277281,1.64521,0.29936182
0.19,6.49879,0.435501,-2.66698,5.7779981,0.389704,-0.36854119,0.38721985999999997,7.07134,0.277419,1.6551481,0.300056
0.2,6.49879,0.435501,-2.66465,5.78432,0.389704,-0.36621,0.393549,7.07134,0.277553,1.66451,0.300714
0.21000000000000002,6.49879,0.435501,-2.66243,5.79064,0.389704,-0.36399,0.39986337000000005,7.07134,0.27768,1.6739,0.30135279
0.22,6.49879,0.435501,-2.66032,5.79673,0.389704,-0.36188222,0.405954,7.07134,0.277809,1.6831778,0.30198
0.23,6.49879,0.435501,-2.65819,5.8027377,0.389704,-0.35975423,0.41196185,7.07134,0.277931,1.69216,0.30260177
0.24000000000000002,6.49879,0.435501,-2.65617,5.80856,0.389704,-0.357726,0.41778776,7.07134,0.278048,1.7010076,0.303185
0.25,6.49879,0.435501,-2.6541,5.81411,0.389704,-0.35565874999999997,0.42333675000000004,7.07134,0.278167,1.70941,0.303776
0.26,6.49879,0.435501,-2.6520926,5.81959,0.389704,-0.35365552,0.42881374,7.07134,0.278283,1.7180774,0.30434774
0.27,6.49879,0.435501,-2.65017,5.8250273,0.389704,-0.351735,0.43425119000000006,7.07134,0.278396,1.7265573,0.304902
